Date,Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume
1/4/2023,85.14,93.27,94.04,108.9,0.96,34.97,-0.008,68885100
1/5/2023,83.12,92.53,93.61,108.29,0.96,36.88,-0.024,67930800
1/6/2023,86.08,91.84,93.31,107.72,0.96,46.08,0.036,83303400
1/9/2023,87.36,91.28,93.08,107.15,0.97,55.8,0.015,65266100
1/10/2023,89.87,90.86,92.95,106.63,0.94,60.06,0.029,67756600
1/11/2023,95.09,90.69,93.04,106.15,0.95,65.46,0.058,103126200
1/12/2023,95.27,90.55,93.13,105.72,0.95,73.82,0.002,85254800
1/13/2023,98.12,90.57,93.32,105.37,0.96,75.25,0.03,85549400
1/17/2023,96.05,90.65,93.43,105,0.97,75.66,-0.021,72755000
1/18/2023,95.46,90.78,93.51,104.61,0.97,77.59,-0.006,79570400
1/19/2023,93.68,90.83,93.51,104.18,0.97,69.68,-0.019,69002700
1/20/2023,97.25,90.96,93.66,103.84,0.97,74.06,0.038,67481500
1/23/2023,97.52,91.11,93.81,103.52,0.97,72.52,0.003,76501100
1/24/2023,96.32,91.32,93.91,103.2,0.97,71.09,-0.012,66929500
1/25/2023,97.18,91.33,94.04,102.9,0.97,77.74,0.009,94261600
1/26/2023,99.22,91.3,94.24,102.61,0.95,76.9,0.021,68523600
1/27/2023,102.24,91.37,94.56,102.36,0.95,78.44,0.03,87775600
1/30/2023,100.55,91.4,94.79,102.11,0.94,71.07,-0.017,70691900
1/31/2023,103.13,91.52,95.12,101.84,0.93,67.71,0.026,66527300
2/1/2023,105.15,91.73,95.51,101.6,0.94,70.13,0.02,80450100
2/2/2023,112.91,92.11,96.19,101.39,0.95,75.11,0.074,158154200
2/3/2023,103.39,92.32,96.48,101.06,0.94,59.95,-0.084,144374800
2/6/2023,102.18,92.5,96.7,100.82,0.94,58.96,-0.012,81945200
2/7/2023,102.11,92.66,96.91,100.55,0.96,61.77,-0.001,119501300
2/8/2023,100.05,92.8,97.03,100.29,0.95,54.08,-0.02,75878300
2/9/2023,98.24,92.88,97.08,100.04,0.94,51,-0.018,64622500
2/10/2023,97.61,92.99,97.1,99.77,0.94,51.83,-0.006,52740100
2/13/2023,99.54,93.05,97.2,99.54,0.93,53.25,0.02,52841500
2/14/2023,99.7,93.13,97.3,99.35,0.93,50.7,0.002,56202900
2/15/2023,101.16,93.27,97.45,99.19,0.94,48.36,0.015,47957600
2/16/2023,98.15,93.41,97.48,99.03,0.95,46.49,-0.03,56339200
2/17/2023,97.2,93.59,97.46,98.85,0.95,40.9,-0.01,60029400
2/21/2023,94.58,93.72,97.35,98.66,0.95,34.08,-0.027,56580400
2/22/2023,95.79,93.82,97.29,98.43,0.96,17.87,0.013,59534100
2/23/2023,95.82,93.96,97.23,98.24,0.96,27.93,0,48467000
2/24/2023,93.5,94.02,97.09,98.05,0.95,26.23,-0.024,57053800
2/27/2023,93.76,94.04,96.96,97.83,0.93,27.37,0.003,47470300
2/28/2023,94.23,94.1,96.85,97.56,0.93,32.74,0.005,43959300
