Date,Adj Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily Returns,Volume
1/24/2023,239.04,238.84,236.66,237.66,241.29,64.56,-0.002,40234400
1/25/2023,237.63,238.8,236.7,237.46,241.22,73.41,-0.006,66526600
1/26/2023,244.92,238.83,237.02,237.35,241.29,76.31,0.031,33454500
1/27/2023,245.08,238.98,237.34,237.27,241.37,75.16,0.001,26498900
1/30/2023,239.7,239.01,237.43,237.18,241.34,65.22,-0.022,25867400
1/31/2023,244.74,239.13,237.72,237.08,241.4,63.77,0.021,26541100
2/1/2023,249.62,239.34,238.19,237.03,241.57,65.51,0.02,31259900
2/2/2023,261.32,239.81,239.09,237.04,241.96,72.23,0.047,39940400
2/3/2023,255.15,240.13,239.72,236.97,242.22,64.47,-0.024,29077300
2/6/2023,253.59,240.36,240.27,237.02,242.44,67.7,-0.006,22518000
2/7/2023,264.24,240.75,241.21,237.18,242.87,76.94,0.042,50841400
2/8/2023,263.42,241.13,242.08,237.4,243.28,72.59,-0.003,54686000
2/9/2023,260.35,241.57,242.79,237.59,243.62,67.7,-0.012,42375100
2/10/2023,259.84,242.02,243.46,237.78,243.94,67.73,-0.002,25818500
2/13/2023,267.96,242.34,244.42,238.07,244.42,73.2,0.031,44630900
2/14/2023,268.8,242.68,245.38,238.41,244.9,70.26,0.003,37047900
2/15/2023,266.65,242.98,246.21,238.7,245.33,67.7,-0.01,28922400
2/16/2023,259.55,243.23,246.74,238.95,245.61,65.85,-0.027,29603600
2/17/2023,255.5,243.49,247.08,239.17,245.81,58.73,-0.016,30000100
2/21/2023,250.16,243.67,247.2,239.34,245.89,50.44,-0.021,28397400
2/22/2023,249.01,243.76,247.27,239.46,245.96,38.06,-0.005,22491100
2/23/2023,252.24,243.96,247.47,239.64,246.08,47.01,0.013,29219100
2/24/2023,246.75,243.91,247.44,239.82,246.09,43.49,-0.022,24990900
2/27/2023,247.68,243.79,247.45,239.92,246.12,30.65,0.004,21190000
2/28/2023,246.94,243.65,247.43,239.94,246.14,30.71,-0.003,22491000
3/1/2023,243.83,243.6,247.29,239.92,246.09,30.68,-0.013,27565300
3/2/2023,248.62,243.74,247.34,239.98,246.14,38.07,0.02,24808200
3/3/2023,252.76,244.05,247.55,240.2,246.28,32.35,0.017,30760100
3/6/2023,254.32,244.36,247.82,240.49,246.43,33.47,0.006,24109800
3/7/2023,251.63,244.56,247.97,240.78,246.54,33.06,-0.011,21473200
3/8/2023,251.18,244.88,248.09,241.07,246.63,38.9,-0.002,17340200
3/9/2023,249.82,245.16,248.16,241.26,246.69,41.88,-0.005,26653400
3/10/2023,246.12,245.41,248.08,241.47,246.68,43.94,-0.015,28333900
3/13/2023,251.4,245.8,248.21,241.65,246.77,53.18,0.021,33339700
3/14/2023,258.2,246.2,248.6,241.88,247,57.26,0.027,33620300
3/15/2023,262.81,246.72,249.16,242.18,247.31,70,0.018,46028000
3/16/2023,273.46,247.46,250.11,242.59,247.83,75.84,0.041,54768800
3/17/2023,276.66,248.47,251.15,242.97,248.4,78.38,0.012,69527400
3/20/2023,269.53,249.47,251.87,243.23,248.82,72.8,-0.026,43466600
3/21/2023,271.06,250.45,252.63,243.47,249.26,71.14,0.006,34558700
3/22/2023,269.59,251.35,253.29,243.89,249.66,66.69,-0.005,34873300
3/23/2023,274.9,252.33,254.14,244.41,250.16,68.99,0.02,36610900
3/24/2023,277.78,253.23,255.07,244.86,250.71,74.05,0.01,28172000
3/27/2023,273.64,253.99,255.79,245.31,251.16,69.33,-0.015,26840200
3/28/2023,272.5,254.72,256.45,245.79,251.59,69.6,-0.004,21878600
3/29/2023,277.73,255.52,257.28,246.4,252.1,76.61,0.019,25087000
3/30/2023,281.23,256.49,258.22,247.1,252.68,75.89,0.013,25053400
3/31/2023,285.44,257.62,259.29,247.78,253.33,74.75,0.015,32766000
4/3/2023,284.38,258.56,260.27,248.38,253.94,70.96,-0.004,24883300
4/4/2023,284.33,259.45,261.22,248.97,254.55,63.3,0,25824300
4/5/2023,281.52,260.3,262.01,249.57,255.08,56,-0.01,22064800
4/6/2023,288.71,261.33,263.06,250.06,255.75,73.65,0.026,29770300
4/10/2023,286.52,262.16,263.98,250.5,256.36,68.76,-0.008,23103000
4/11/2023,280.02,262.86,264.61,250.92,256.82,61.29,-0.023,27276600
4/12/2023,280.68,263.68,265.24,251.34,257.3,56.95,0.002,27403400
4/13/2023,286.96,264.52,266.09,251.82,257.88,60.21,0.022,24222700
4/14/2023,283.3,265.19,266.77,252.27,258.39,60.86,-0.013,20987900
4/17/2023,285.93,265.69,267.52,252.75,258.93,64.61,0.009,23836200
4/18/2023,285.51,266.29,268.22,253.21,259.46,59.45,-0.001,20161800
4/19/2023,285.59,266.93,268.9,253.65,259.98,55.77,0,17150300
4/20/2023,283.27,267.31,269.47,254.03,260.44,46.98,-0.008,23244400
4/21/2023,282.92,267.7,270,254.42,260.88,47.93,-0.001,21676400
4/24/2023,278.97,268.08,270.35,254.82,261.24,43.14,-0.014,26611000
4/25/2023,272.69,268.33,270.44,255.17,261.47,39.61,-0.023,45772200
4/26/2023,292.44,268.82,271.3,255.58,262.08,53.39,0.072,64599200
4/27/2023,301.8,269.48,272.5,256.08,262.87,62.28,0.032,46462600
4/28/2023,304.21,270.24,273.74,256.61,263.69,70.79,0.008,36446700
5/1/2023,302.53,271.09,274.87,257.16,264.46,68.46,-0.006,21294100
